,speaker,statement,sentiment,words,lemmatization
88,HOLT, I—I’ve let—I’ve let this,0.0,['let'],"['let/VB', 'let/VB']"
89,DELANEY, But why are you taking my healthcare way?,0.0,"['taking', 'healthcare', 'way']","['be/VB', 'take/VB', 'healthcare/NN', 'way/NN']"
90,HOLT, I’ve let this play out a little bit because it’s—I’m fascinated to hear the daylight between you. Congresswoman Gabbard,0.705,"['let', 'play', 'little', 'bit', 'fascinated', 'hear', 'daylight', 'congresswoman', 'gabbard']","['let/VB', 'play/NN', 'little/JJ', 'bit/NN', 'fascinate/VB', 'hear/VB', 'daylight/NN', 'congresswoman/NN', 'gabbard/NN']"
91,GABBARD, Yes,0.4019,['yes'],['yes/RB']
92,HOLT, Weigh—weigh in here.,0.0,[],"['weigh/VB', 'here/RB']"
93,GABBARD," I think we’re talking about this in the wrong way. You’re talking about one bill over another bill. Really, what we’re talking about is our objective, making sure that every single American in this country is able to get the health care that they need. I believe Medicare for All is the way to do that. I also think that employers recognize how much money will be saved by supporting a Medicare for All program, a program that will reduce the administrative costs, reduce the bureaucratic costs, and make sure that everyone gets that quality healthcare that they need.",0.8555,"['think', 'talking', 'wrong', 'way', 'talking', 'one', 'bill', 'another', 'bill', 'really', 'talking', 'objective', 'making', 'sure', 'every', 'single', 'american', 'country', 'able', 'get', 'health', 'care', 'need', 'believe', 'medicare', 'way', 'also', 'think', 'employers', 'recognize', 'much', 'money', 'saved', 'supporting', 'medicare', 'program', 'program', 'reduce', 'administrative', 'costs', 'reduce', 'bureaucratic', 'costs', 'make', 'sure', 'everyone', 'gets', 'quality', 'healthcare', 'need']","['think/VB', 're/NN', 'talk/VB', 'wrong/JJ', 'way/NN', 're/NN', 'talk/VB', 'bill/NN', 'bill/NN', 'really/RB', 're/NN', 'talk/VB', 'about/RB', 'be/VB', 'objective/NN', 'make/VB', 'sure/JJ', 'single/JJ', 'american/JJ', 'country/NN', 'be/VB', 'able/JJ', 'get/VB', 'health/NN', 'care/NN', 'need/VB', 'believe/VB', 'medicare/NN', 'be/VB', 'way/NN', 'do/VB', 'also/RB', 'think/VB', 'employer/NN', 'recognize/VB', 'much/JJ', 'money/NN', 'be/VB', 'save/VB', 'support/VB', 'medicare/NN', 'program/NN', 'program/NN', 'reduce/VB', 'administrative/JJ', 'cost/NN', 'reduce/VB', 'bureaucratic/JJ', 'cost/NN', 'make/VB', 'sure/JJ', 'everyone/NN', 'get/VB', 'quality/NN', 'healthcare/NN', 'need/VB']"
94,HOLT, Senator,0.0,['senator'],['senator/NN']
95,GABBARD," I also think if you—if you look at other countries in the world who have universal healthcare, every one of them has some form of a role of—of private insurance. I think that’s what we’ve got to look at, taking the best of these ideas, but making sure unequivocally that no sick American goes without getting the care that they need regardless",-0.7304,"['also', 'think', 'look', 'countries', 'world', 'universal', 'healthcare', 'every', 'one', 'form', 'role', 'private', 'insurance', 'think', 'got', 'look', 'taking', 'best', 'ideas', 'making', 'sure', 'unequivocally', 'sick', 'american', 'goes', 'without', 'getting', 'care', 'need', 'regardless']","['also/RB', 'think/VB', 'look/VB', 'other/JJ', 'country/NN', 'world/NN', 'have/VB', 'universal/JJ', 'healthcare/NN', 'have/VB', 'form/NN', 'role/NN', 'private/JJ', 'insurance/NN', 'think/VB', 'have/VB', 'get/VB', 'look/VB', 'take/VB', 'best/JJ', 'idea/NN', 'make/VB', 'sure/JJ', 'unequivocally/RB', 'sick/JJ', 'american/NN', 'go/VB', 'get/VB', 'care/NN', 'need/VB', 'regardless/RB']"
96,HOLT, Congresswoman,0.0,['congresswoman'],['congresswoman/NN']
97,GABBARD, Of how much or little money they have in their pocket.,0.0,"['much', 'little', 'money', 'pocket']","['much/JJ', 'little/JJ', 'money/NN', 'have/VB', 'pocket/NN']"
98,HOLT," Congresswoman, thanks.",0.4404,"['congresswoman', 'thanks']","['congresswoman/NN', 'thank/NN']"
99,UNKNOWN, Lester? Lester?,0.0,"['lester', 'lester']","['lester/JJ', 'lester/NN']"
100,HOLT," Let me turn to Senator Booker on this. Senator Booker, explain to me where you are. This is hugely important to people, so tell us where you are.",0.2716,"['let', 'turn', 'senator', 'booker', 'senator', 'booker', 'explain', 'hugely', 'important', 'people', 'tell', 'us']","['let/VB', 'turn/VB', 'senator/NN', 'booker/NN', 'senator/NN', 'booker/NN', 'explain/NN', 'be/VB', 'be/VB', 'hugely/RB', 'important/JJ', 'person/NN', 'so/RB', 'tell/VB', 'be/VB']"
101,BOOKER," I absolutely will. First of all, we’re talking about this as a healthcare issue. But in communities like mine, low income communities, it’s an education issue because kids who don’t have healthcare are not going to succeed in school. It is an issue for jobs —And employment because people that do not have good health care do not succeed at work. It’s even a retirement issue because, in my community, African-Americans have a lower life expectancy because of the poorer health care. And so, where I stand is very clear. Healthcare is not just a human right, it should be an American right. And I believe the best way to get there is Medicare for All. But I have an urgency about this. When I am president of the United States, I’m not going to wait. We have to do the things immediately that are going to provide better care. And on this debate, I’m sorry. There are too many people profiteering off of the pain of people in America from the—from pharmaceutical companies to insurers. Literally, the overhead for insurers that they charge is 15 percent, while Medicare’s overhead is only at 2 percent. We can do this better, and every single day I will be fighting to give people more access and more affordable cost until we get to my goal",0.8239,"['absolutely', 'first', 'talking', 'healthcare', 'issue', 'communities', 'like', 'mine', 'low', 'income', 'communities', 'education', 'issue', 'kids', 'healthcare', 'going', 'succeed', 'school', 'issue', 'jobs', 'employment', 'people', 'good', 'health', 'care', 'succeed', 'work', 'even', 'retirement', 'issue', 'community', 'lower', 'life', 'expectancy', 'poorer', 'health', 'care', 'stand', 'clear', 'healthcare', 'human', 'right', 'american', 'right', 'believe', 'best', 'way', 'get', 'medicare', 'urgency', 'president', 'united', 'states', 'going', 'wait', 'things', 'immediately', 'going', 'provide', 'better', 'care', 'debate', 'sorry', 'many', 'people', 'profiteering', 'pain', 'people', 'america', 'pharmaceutical', 'companies', 'insurers', 'literally', 'overhead', 'insurers', 'charge', 'percent', 'medicare', 'overhead', 'percent', 'better', 'every', 'single', 'day', 'fighting', 'give', 'people', 'access', 'affordable', 'cost', 'get', 'goal']","['absolutely/RB', 'first/VB', 're/NN', 'talk/VB', 'healthcare/NN', 'issue/NN', 'community/NN', 'mine/NN', 'low/JJ', 'income/NN', 'community/NN', 'education/NN', 'issue/NN', 'kid/NN', 'don/VB', 'have/VB', 'healthcare/NN', 'be/VB', 'not/RB', 'go/VB', 'succeed/VB', 'school/NN', 'be/VB', 'issue/NN', 'job/NN', 'employment/NN', 'person/NN', 'do/VB', 'not/RB', 'have/VB', 'good/JJ', 'health/NN', 'care/NN', 'do/VB', 'not/RB', 'succeed/VB', 'work/NN', 'even/RB', 'retirement/NN', 'issue/NN', 'community/NN', 'african/JJ', 'american/NN', 'have/VB', 'lower/JJ', 'life/NN', 'expectancy/NN', 'poorer/JJ', 'health/NN', 'care/NN', 'so/RB', 'stand/VB', 'be/VB', 'very/RB', 'clear/JJ', 'healthcare/NN', 'be/VB', 'not/RB', 'just/RB', 'human/JJ', 'right/NN', 'be/VB', 'american/JJ', 'right/NN', 'believe/VB', 'best/JJ', 'way/NN', 'get/VB', 'be/VB', 'medicare/NN', 'have/VB', 'urgency/NN', 'be/VB', 'president/NN', 'united/NN', 'states/NN', 'not/RB', 'go/VB', 'have/VB', 'do/VB', 'thing/NN', 'immediately/RB', 'be/VB', 'go/VB', 'provide/VB', 'better/JJ', 'care/NN', 'debate/NN', 'sorry/RB', 'be/VB', 'too/RB', 'many/JJ', 'person/NN', 'profiteer/VB', 'pain/NN', 'person/NN', 'america/NN', 'pharmaceutical/JJ', 'company/NN', 'insurer/NN', 'literally/RB', 'overhead/NN', 'insurer/NN', 'charge/VB', 'be/VB', 'percent/NN', 'medicare/NN', 'overhead/NN', 'be/VB', 'only/RB', 'percent/NN', 'do/VB', 'better/JJ', 'single/JJ', 'day/NN', 'be/VB', 'fighting/JJ', 'give/VB', 'person/NN', 'more/JJ', 'access/NN', 'more/RB', 'affordable/JJ', 'cost/NN', 'get/VB', 'goal/NN']"
102,HOLT," Your time is up, Senator",0.0,"['time', 'senator']","['time/NN', 'be/VB', 'senator/NN']"
103,BOOKER, Which is every American having healthcare.,0.0,"['every', 'american', 'healthcare']","['be/VB', 'american/JJ', 'have/VB', 'healthcare/NN']"
104,HOLT," Your time is up, Senator. I want to—I want to move back",0.1531,"['time', 'senator', 'want', 'want', 'move', 'back']","['time/NN', 'be/VB', 'senator/NN', 'want/VB', 'want/VB', 'move/VB', 'back/RB']"
105,WARREN, Can I just add to Senator,0.0,"['add', 'senator']","['just/RB', 'add/VB', 'senator/NN']"
106,HOLT," If I can, to",0.0,[],[]
107,WARREN, I just want to add to,0.0772,"['want', 'add']","['just/RB', 'want/VB', 'add/VB']"
108,HOLT, Congressman Gabbard,0.0,"['congressman', 'gabbard']","['congressman/NN', 'gabbard/NN']"
109,WARREN, Senator Booker’s,0.0,"['senator', 'booker']","['senator/NN', 'booker/NN']"
110,UNKNOWN, Lester,0.0,['lester'],['lester/JJ']
111,WARREN," Point though. And that is that the insurance companies last year alone sucked $23 billion in profits out of the healthcare system, $23 billion, and that doesn’t count the money that was paid to executives, the money that was spent lobbying Washington. We have a giant industry that wants our healthcare system to stay the way it is, because it’s not working for families but it’s sure as heck working for them.",0.3071,"['point', 'though', 'insurance', 'companies', 'last', 'year', 'alone', 'sucked', 'billion', 'profits', 'healthcare', 'system', 'billion', 'count', 'money', 'paid', 'executives', 'money', 'spent', 'lobbying', 'washington', 'giant', 'industry', 'wants', 'healthcare', 'system', 'stay', 'way', 'working', 'families', 'sure', 'heck', 'working']","['point/NN', 'though/NN', 'be/VB', 'insurance/NN', 'company/NN', 'last/JJ', 'year/NN', 'alone/RB', 'suck/VB', 'profit/NN', 'healthcare/NN', 'system/NN', 'doesn/JJ', 'count/VB', 'money/NN', 'be/VB', 'paid/VB', 'executive/NN', 'money/NN', 'be/VB', 'spend/VB', 'lobbying/NN', 'washington/NN', 'have/VB', 'giant/JJ', 'industry/NN', 'want/VB', 'healthcare/NN', 'system/NN', 'stay/VB', 'way/NN', 'be/VB', 'not/RB', 'work/VB', 'family/NN', 'sure/JJ', 'heck/NN', 'working/NN']"
112,HOLT, Governor—Governor Inslee?,0.0,['inslee'],"['governor/NN', 'governor/NN', 'inslee/NN']"
113,INSLEE, It’s not good enough,-0.3412,"['good', 'enough']","['not/RB', 'good/JJ', 'enough/JJ']"
114,WARREN, It’s time for us,0.0,"['time', 'us']",['time/NN']
115,HOLT, Governor Inslee,0.0,"['governor', 'inslee']","['governor/NN', 'inslee/NN']"
116,WARREN, To make families come first.,0.0,"['make', 'families', 'come', 'first']","['make/VB', 'family/NN', 'come/VB', 'first/JJ']"
117,INSLEE," It should not be an option in the United States of America for any insurance company to deny woman coverage for their exercise of their right of choice. And I am the only candidate here who has passed a law protecting a woman’s right of reproductive health and health insurance, and on the only candidate who has passed a public option. And I respect everybody’s goals and plans here, but we do have one candidate that’s actually advance the ball. And we got to have access for everyone. I’ve done it as a public option.",0.3071,"['option', 'united', 'states', 'america', 'insurance', 'company', 'deny', 'woman', 'coverage', 'exercise', 'right', 'choice', 'candidate', 'passed', 'law', 'protecting', 'woman', 'right', 'reproductive', 'health', 'health', 'insurance', 'candidate', 'passed', 'public', 'option', 'respect', 'everybody', 'goals', 'plans', 'one', 'candidate', 'actually', 'advance', 'ball', 'got', 'access', 'everyone', 'done', 'public', 'option']","['not/RB', 'be/VB', 'option/NN', 'united/NN', 'states/NN', 'america/NN', 'insurance/NN', 'company/NN', 'deny/VB', 'woman/NN', 'coverage/NN', 'exercise/NN', 'right/NN', 'choice/NN', 'be/VB', 'only/JJ', 'candidate/NN', 'here/RB', 'have/VB', 'pass/VB', 'law/NN', 'protect/VB', 'woman/NN', 'right/RB', 'reproductive/JJ', 'health/NN', 'health/NN', 'insurance/NN', 'only/JJ', 'candidate/NN', 'have/VB', 'pass/VB', 'public/JJ', 'option/NN', 'respect/NN', 'everybody/NN', 'goal/NN', 'plan/VB', 'here/RB', 'do/VB', 'have/VB', 'candidate/NN', 'actually/RB', 'ball/NN', 'get/VB', 'have/VB', 'access/NN', 'everyone/NN', 'have/VB', 'do/VB', 'public/JJ', 'option/NN']"
118,HOLT," Your time—time is up, governor. (CROSSTALK)",0.0,"['governor', 'crosstalk']","['time/NN', 'time/NN', 'be/VB', 'governor/NN', 'crosstalk/NN']"
119,HOLT," Senator—Senator Klobuchar, I want to give you",0.0772,"['klobuchar', 'want', 'give']","['senator/NN', 'senator/NN', 'klobuchar/NN', 'want/VB', 'give/VB']"
120,UNKNOWN, That’s a false claim. That’s a false claim.,0.0,"['false', 'claim', 'false', 'claim']","['false/JJ', 'claim/NN', 'false/JJ', 'claim/NN']"
121,UNKNOWN, Lester?,0.0,['lester'],['lester/JJ']
122,HOLT, I’m fascinated by this. Senator—Senator,0.4767,['fascinated'],"['fascinate/VB', 'senator/NN', 'senator/NN']"
123,KLOBUCHAR, I think—I think we’re,0.0,['think'],"['think/VB', 'think/VB', 're/NN']"
124,HOLT,  Klobuchar?,0.0,['klobuchar'],['klobuchar/NN']
125,KLOBUCHAR," I just want to say there’s three women appear that have fought pretty hard for a woman’s right to choose, so I’ll start with that. And then I just want to make very clear, I think we share the goal of universal healthcare. And the idea I put out there, the public option, which the governor was just talking about, this idea is that you use Medicare or Medicaid without any insurance companies involved. You could do it either way. At its—the estimates are 13 million people would see a reduction in their premiums, 12 more million people would get covered. So, I think it is a beginning and the way you start and the way you moved to universal healthcare. (CROSSTALK)",0.7346,"['want', 'say', 'three', 'women', 'appear', 'fought', 'pretty', 'hard', 'woman', 'right', 'choose', 'start', 'want', 'make', 'clear', 'think', 'share', 'goal', 'universal', 'healthcare', 'idea', 'put', 'public', 'option', 'governor', 'talking', 'idea', 'use', 'medicare', 'medicaid', 'without', 'insurance', 'companies', 'involved', 'could', 'either', 'way', 'estimates', 'million', 'people', 'would', 'see', 'reduction', 'premiums', 'million', 'people', 'would', 'get', 'covered', 'think', 'beginning', 'way', 'start', 'way', 'moved', 'universal', 'healthcare', 'crosstalk']","['just/RB', 'want/VB', 'say/VB', 'woman/NN', 'appear/VB', 'have/VB', 'fight/VB', 'pretty/RB', 'hard/RB', 'woman/NN', 'right/JJ', 'choose/VB', 'll/VB', 'start/NN', 'then/RB', 'just/RB', 'want/VB', 'make/VB', 'very/RB', 'clear/JJ', 'think/NN', 'share/NN', 'goal/NN', 'universal/JJ', 'healthcare/NN', 'idea/NN', 'put/VB', 'out/RB', 'there/RB', 'public/JJ', 'option/NN', 'governor/NN', 'be/VB', 'just/RB', 'talk/VB', 'idea/NN', 'be/VB', 'use/VB', 'medicare/NN', 'medicaid/VB', 'insurance/NN', 'company/NN', 'involved/JJ', 'do/VB', 'way/NN', 'estimate/NN', 'be/VB', 'person/NN', 'see/VB', 'reduction/NN', 'premium/NN', 'more/JJ', 'person/NN', 'get/VB', 'cover/VB', 'think/VB', 'be/VB', 'beginning/NN', 'way/NN', 'start/VB', 'way/NN', 'move/VB', 'universal/JJ', 'healthcare/NN', 'crosstalk/NN']"
126,HOLT," Secretary Castro, this one is for you. All of you on stage support a woman’s right to an abortion. You all support some version of a government healthcare option. Would your-",0.6597,"['secretary', 'castro', 'one', 'stage', 'support', 'woman', 'right', 'abortion', 'support', 'version', 'government', 'healthcare', 'option', 'would']","['secretary/NN', 'castro/NN', 'one/NN', 'be/VB', 'stage/NN', 'support/VB', 'woman/NN', 'right/JJ', 'abortion/NN', 'support/VB', 'version/NN', 'government/NN', 'healthcare/NN', 'option/NN']"
127,HOLT," plan cover abortion, Mr. Secretary?",0.0,"['plan', 'cover', 'abortion', 'secretary']","['plan/NN', 'cover/VB', 'abortion/NN', 'mr/NN', 'secretary/NN']"
128,CASTRO," Yes, it would. I don’t believe only in reproductive freedom. I believe in reproductive justice. And, you know what that means is just because a woman or let’s also not forget someone in the trans community—a trans female —is poor doesn’t mean they shouldn’t have the right to exercise that right to choose. So, I absolutely would cover the right to have an abortion. More than that everybody in this crowd and watching at home knows that in our country today a person’s right to choose is under assault in places like Missouri and Alabama, in Georgia. I would appoint judges to the federal bench that understand the precedent of Roe v Wade and will respect. And in addition to that make sure that we fight hard as we transition our healthcare system to one where everybody can get and exercise that right.",0.8388,"['yes', 'would', 'believe', 'reproductive', 'freedom', 'believe', 'reproductive', 'justice', 'know', 'means', 'woman', 'let', 'also', 'forget', 'someone', 'trans', 'trans', 'female', 'poor', 'mean', 'right', 'exercise', 'right', 'choose', 'absolutely', 'would', 'cover', 'right', 'abortion', 'everybody', 'crowd', 'watching', 'home', 'knows', 'country', 'today', 'person', 'right', 'choose', 'assault', 'places', 'like', 'missouri', 'alabama', 'georgia', 'would', 'appoint', 'judges', 'federal', 'bench', 'understand', 'precedent', 'roe', 'v', 'wade', 'respect', 'addition', 'make', 'sure', 'fight', 'hard', 'transition', 'healthcare', 'system', 'one', 'everybody', 'get', 'exercise', 'right']","['yes/RB', 'don/VB', 'believe/VB', 'only/RB', 'reproductive/JJ', 'freedom/NN', 'believe/VB', 'reproductive/JJ', 'justice/NN', 'know/VB', 'mean/VB', 'be/VB', 'just/RB', 'woman/NN', 'let/VB', 'also/RB', 'not/RB', 'forget/VB', 'someone/NN', 'tran/NN', 'community/NN', 'tran/NN', 'female/JJ', 'be/VB', 'poor/JJ', 'doesn/NN', 'mean/NN', 'shouldn/VB', 'have/VB', 'right/JJ', 'exercise/VB', 'right/JJ', 'choose/VB', 'absolutely/RB', 'cover/VB', 'right/JJ', 'have/VB', 'abortion/NN', 'more/RB', 'everybody/NN', 'crowd/NN', 'watch/VB', 'home/NN', 'know/VB', 'country/NN', 'today/NN', 'person/NN', 'right/JJ', 'choose/VB', 'be/VB', 'assault/NN', 'place/NN', 'missouri/NN', 'alabama/NN', 'georgia/NN', 'appoint/VB', 'judge/NN', 'federal/JJ', 'bench/NN', 'understand/VB', 'precedent/NN', 'roe/NN', 'wade/VB', 'respect/VB', 'addition/NN', 'make/VB', 'sure/JJ', 'fight/VB', 'hard/RB', 'transition/NN', 'healthcare/NN', 'system/NN', 'everybody/NN', 'get/VB', 'exercise/NN', 'right/RB']"
129,GUTHRIE," Senator Warren, would you put limits—any limits on abortion?",0.0,"['senator', 'warren', 'would', 'put', 'limits', 'abortion']","['senator/NN', 'warren/NN', 'put/VB', 'limit/NN', 'limit/NN', 'abortion/NN']"
130,WARREN," I would make certain that every woman has access to the full range of reproductive healthcare services and that includes birth control, it includes abortion, it includes everything for a woman. And, I want to add on that—it’s not enough for us to expect the courts to protect us. Forty-seven years ago Roe versus Wade was decided and we’ve all looked to the courts all that time. As state after state has undermined Roe, has put in exceptions has come right up to the age of taking away protection.",0.3612,"['would', 'make', 'certain', 'every', 'woman', 'access', 'full', 'range', 'reproductive', 'healthcare', 'services', 'includes', 'birth', 'control', 'includes', 'abortion', 'includes', 'everything', 'woman', 'want', 'add', 'enough', 'us', 'expect', 'courts', 'protect', 'us', 'years', 'ago', 'roe', 'versus', 'wade', 'decided', 'looked', 'courts', 'time', 'state', 'state', 'undermined', 'roe', 'put', 'exceptions', 'come', 'right', 'age', 'taking', 'away', 'protection']","['make/VB', 'certain/JJ', 'woman/NN', 'have/VB', 'access/NN', 'full/JJ', 'range/NN', 'reproductive/JJ', 'healthcare/NN', 'service/NN', 'include/VB', 'birth/NN', 'control/VB', 'include/VB', 'abortion/NN', 'include/VB', 'everything/NN', 'woman/NN', 'want/VB', 'add/VB', 'not/RB', 'enough/RB', 'expect/VB', 'court/NN', 'protect/VB', 'year/NN', 'roe/NN', 'versus/NN', 'wade/VB', 'be/VB', 'decide/VB', 'have/VB', 'look/VB', 'court/NN', 'time/NN', 'state/NN', 'state/NN', 'have/VB', 'undermine/VB', 'roe/NN', 'have/VB', 'put/VB', 'exception/NN', 'have/VB', 'come/VB', 'right/RB', 'age/NN', 'take/VB', 'away/RB', 'protection/NN']"
131,GUTHRIE," Your time is up, Senator.",0.0,"['time', 'senator']","['time/NN', 'be/VB', 'senator/NN']"
132,WARREN, We now have an America where most people support Roe versus Wade. We need to make that federal law.,0.4549,"['america', 'people', 'support', 'roe', 'versus', 'wade', 'need', 'make', 'federal', 'law']","['now/RB', 'have/VB', 'america/NN', 'most/RB', 'person/NN', 'support/VB', 'roe/RB', 'versus/NN', 'wade/VB', 'need/VB', 'make/VB', 'federal/JJ', 'law/NN']"
133,DIAZ BALART," Senator, thank you.",0.3612,"['senator', 'thank']","['senator/NN', 'thank/NN']"
134,DIAZ BALART," Senator Booker, I want to kind of come back on a discussion we were having about health and the opioid crisis. You represent a state where 14 of the 28 largest pharmaceutical companies are based. Should pharmaceutical companies that manufacture these drugs be held criminally liable for what they do?",-0.5859,"['senator', 'booker', 'want', 'kind', 'come', 'back', 'discussion', 'health', 'opioid', 'crisis', 'represent', 'state', 'largest', 'pharmaceutical', 'companies', 'based', 'pharmaceutical', 'companies', 'manufacture', 'drugs', 'held', 'criminally', 'liable']","['senator/NN', 'booker/NN', 'want/VB', 'kind/NN', 'come/VB', 'back/RB', 'discussion/NN', 'be/VB', 'have/VB', 'health/NN', 'opioid/JJ', 'crisis/NN', 'represent/VB', 'state/NN', 'largest/JJ', 'pharmaceutical/JJ', 'company/NN', 'be/VB', 'base/VB', 'pharmaceutical/JJ', 'company/NN', 'manufacture/VB', 'drug/NN', 'be/VB', 'hold/VB', 'criminally/RB', 'liable/JJ', 'do/VB']"
135,BOOKER," They should absolutely be held criminally liable because they are liable and responsible. This is one of the reasons why (INAUDIBLE) I was running for president I said I would not take contributions from former companies, not take contributions —I will not take contributions from corporate tax or pharma executives because they are part of this problem. And this opioid addiction in our country we in cities like mine have been seeing how we have been trying to arrest our way out of addiction for too long. It is time that we have a national urgency to deal with this problem and make the solutions that are working to actually be the law of our land and make the pharmaceutical that are responsible help to—help to pay for that.",0.1154,"['absolutely', 'held', 'criminally', 'liable', 'liable', 'responsible', 'one', 'reasons', 'inaudible', 'running', 'president', 'said', 'would', 'take', 'contributions', 'former', 'companies', 'take', 'contributions', 'take', 'contributions', 'corporate', 'tax', 'pharma', 'executives', 'part', 'problem', 'opioid', 'addiction', 'country', 'cities', 'like', 'mine', 'seeing', 'trying', 'arrest', 'way', 'addiction', 'long', 'time', 'national', 'urgency', 'deal', 'problem', 'make', 'solutions', 'working', 'actually', 'law', 'land', 'make', 'pharmaceutical', 'responsible', 'help', 'pay']","['absolutely/RB', 'be/VB', 'hold/VB', 'criminally/RB', 'liable/JJ', 'be/VB', 'liable/JJ', 'responsible/JJ', 'be/VB', 'reason/NN', 'inaudible/JJ', 'be/VB', 'run/VB', 'president/NN', 'say/VB', 'not/RB', 'take/VB', 'contribution/NN', 'former/JJ', 'company/NN', 'not/RB', 'take/VB', 'contribution/NN', 'not/RB', 'take/VB', 'contribution/NN', 'corporate/JJ', 'tax/NN', 'pharma/JJ', 'executive/NN', 'be/VB', 'part/NN', 'problem/NN', 'opioid/JJ', 'addiction/NN', 'country/NN', 'city/NN', 'mine/NN', 'have/VB', 'be/VB', 'see/VB', 'have/VB', 'be/VB', 'try/VB', 'arrest/VB', 'way/NN', 'addiction/NN', 'too/RB', 'long/JJ', 'be/VB', 'time/NN', 'have/VB', 'national/JJ', 'urgency/NN', 'deal/VB', 'problem/NN', 'make/VB', 'solution/NN', 'be/VB', 'work/VB', 'actually/RB', 'be/VB', 'law/NN', 'land/NN', 'make/VB', 'pharmaceutical/JJ', 'be/VB', 'responsible/JJ', 'help/NN', 'help/VB', 'pay/VB']"
136,DIAZ BALART," Congressman O’Rourke, how would you deal with it?",0.0,"['congressman', 'rourke', 'would', 'deal']","['congressman/NN', 'rourke/NN', 'deal/VB']"
137,O’ROURKE, Tonight in this country you have 2.3 million or fellow Americans behind bars. It’s the largest prison population on the face of the planet. Many are there for non-violent drug crimes including possession of marijuana at a time that more than half the states have legalized it or decriminalized. And despite what Purdue Pharma has done—their connection to the opioid crisis and the overdose deaths that we’re seeing throughout this country they’ve been able to act with complete impunity and pay no consequences not a single night in jail. Unless there’s accountability and justice this crisis will continue. In my administration we will hold them to account. We will make sure that they pay a price and we will help those that have been a victim of these malfeasance in this country get them treatment and long-term care.,-0.7184,"['tonight', 'country', 'million', 'fellow', 'americans', 'behind', 'bars', 'largest', 'prison', 'population', 'face', 'planet', 'many', 'drug', 'crimes', 'including', 'possession', 'marijuana', 'time', 'half', 'states', 'legalized', 'decriminalized', 'despite', 'purdue', 'pharma', 'connection', 'opioid', 'crisis', 'overdose', 'deaths', 'seeing', 'throughout', 'country', 'able', 'act', 'complete', 'impunity', 'pay', 'consequences', 'single', 'night', 'jail', 'unless', 'accountability', 'justice', 'crisis', 'continue', 'administration', 'hold', 'account', 'make', 'sure', 'pay', 'price', 'help', 'victim', 'malfeasance', 'country', 'get', 'treatment', 'care']","['tonight/NN', 'country/NN', 'have/VB', 'fellow/JJ', 'american/NN', 'bar/NN', 'largest/JJ', 'prison/NN', 'population/NN', 'face/NN', 'planet/NN', 'many/JJ', 'be/VB', 'there/RB', 'violent/JJ', 'drug/NN', 'crime/NN', 'include/VB', 'possession/NN', 'marijuana/NN', 'time/NN', 'more/JJ', 'state/NN', 'have/VB', 'legalize/VB', 'decriminalize/VB', 'purdue/RB', 'pharma/RB', 'have/VB', 'do/VB', 'connection/NN', 'opioid/JJ', 'crisis/NN', 'overdose/NN', 'death/NN', 're/NN', 'see/VB', 'country/NN', 'have/VB', 'be/VB', 'able/JJ', 'act/VB', 'complete/JJ', 'impunity/NN', 'pay/VB', 'consequence/NN', 'not/RB', 'single/JJ', 'night/NN', 'jail/NN', 'accountability/NN', 'justice/NN', 'crisis/NN', 'continue/VB', 'administration/NN', 'hold/VB', 'account/VB', 'make/VB', 'sure/JJ', 'pay/VB', 'price/NN', 'help/VB', 'have/VB', 'be/VB', 'victim/NN', 'malfeasance/NN', 'country/NN', 'get/VB', 'treatment/NN', 'long/JJ', 'term/NN', 'care/NN']"
138,HOLT, I know immigration is on a lot of your minds here and I want to talk about it. I am going to talk about it in a moment. We need to take a break. We’ll be back with more from Miami after this.,0.0772,"['know', 'immigration', 'lot', 'minds', 'want', 'talk', 'going', 'talk', 'moment', 'need', 'take', 'break', 'back', 'miami']","['know/VB', 'immigration/NN', 'be/VB', 'lot/NN', 'mind/NN', 'here/RB', 'want/VB', 'talk/VB', 'be/VB', 'go/VB', 'talk/VB', 'moment/NN', 'need/VB', 'take/VB', 'break/NN', 'be/VB', 'back/RB', 'more/RB', 'miami/NN']"
