,speaker,statement,sentiment,words,lemmatization
37,HOLT," Secretary Castro, my—the next question is for you. Immigrants have been talking about the pay gap for decades. What would you do to ensure that women are paid fairly in this country?",0.296,"['secretary', 'castro', 'next', 'question', 'immigrants', 'talking', 'pay', 'gap', 'decades', 'would', 'ensure', 'women', 'paid', 'fairly', 'country']","['secretary/NN', 'castro/VB', 'next/JJ', 'question/NN', 'be/VB', 'immigrant/NN', 'have/VB', 'be/VB', 'talk/VB', 'pay/NN', 'gap/NN', 'decade/NN', 'do/VB', 'ensure/VB', 'woman/NN', 'be/VB', 'paid/VB', 'fairly/RB', 'country/NN']"
38,CASTRO," Thank you very much for that question, Lester. You know, I grew up with a mother who raised her brother Joaquin and me as a single parent, and I know what it’s like to struggle. I know what it’s like to rent a home and to worry about whether you’re going to be able to pay the rent at the first of the month and to see a mom worked very, very hard and know that moms across this country are getting paid less simply because they’re women. I would do several things starting with something we should have done a long time ago, which is to pass the equal rights amendment finally in this country. And also pursue legislation so that women are paid equal pay for equal work in this country. It’s past time that we did that And you know, we have to do this. If we want to be the most prosperous nation in the 21st century, we need to make sure that women are paid what they deserve.",0.6728,"['thank', 'much', 'question', 'lester', 'know', 'grew', 'mother', 'raised', 'brother', 'joaquin', 'single', 'parent', 'know', 'like', 'struggle', 'know', 'like', 'rent', 'home', 'worry', 'whether', 'going', 'able', 'pay', 'rent', 'first', 'month', 'see', 'mom', 'worked', 'hard', 'know', 'moms', 'across', 'country', 'getting', 'paid', 'less', 'simply', 'women', 'would', 'several', 'things', 'starting', 'something', 'done', 'long', 'time', 'ago', 'pass', 'equal', 'rights', 'amendment', 'finally', 'country', 'also', 'pursue', 'legislation', 'women', 'paid', 'equal', 'pay', 'equal', 'work', 'country', 'past', 'time', 'know', 'want', 'prosperous', 'nation', 'century', 'need', 'make', 'sure', 'women', 'paid', 'deserve']","['thank/NN', 'very/RB', 'much/JJ', 'question/NN', 'know/VB', 'grow/VB', 'mother/NN', 'raise/VB', 'brother/NN', 'joaquin/NN', 'single/JJ', 'parent/NN', 'know/VB', 'struggle/NN', 'know/VB', 'rent/VB', 'home/NN', 'worry/VB', 're/NN', 'go/VB', 'be/VB', 'able/JJ', 'pay/VB', 'rent/NN', 'first/JJ', 'month/NN', 'see/VB', 'mom/NN', 'work/VB', 'very/RB', 'very/RB', 'hard/RB', 'know/VB', 'mom/VB', 'country/NN', 'be/VB', 'get/VB', 'paid/VB', 'less/RB', 'simply/RB', 're/NN', 'woman/NN', 'do/VB', 'several/JJ', 'thing/NN', 'start/VB', 'something/NN', 'have/VB', 'do/VB', 'long/JJ', 'time/NN', 'be/VB', 'pass/VB', 'equal/JJ', 'right/NN', 'amendment/NN', 'finally/RB', 'country/NN', 'also/RB', 'pursue/VB', 'legislation/NN', 'woman/NN', 'be/VB', 'paid/VB', 'equal/JJ', 'pay/NN', 'equal/JJ', 'work/NN', 'country/NN', 'past/JJ', 'time/NN', 'do/VB', 'know/VB', 'have/VB', 'do/VB', 'want/VB', 'be/VB', 'most/RB', 'prosperous/JJ', 'nation/NN', 'st/NN', 'century/NN', 'need/VB', 'make/VB', 'sure/JJ', 'woman/NN', 'be/VB', 'paid/VB', 'deserve/VB']"
39,HOLT," All right, thank you. I want to put the same question to Congresswoman Gabbard. Your thoughts on equal pay.",0.34,"['right', 'thank', 'want', 'put', 'question', 'congresswoman', 'gabbard', 'thoughts', 'equal', 'pay']","['right/RB', 'thank/NN', 'want/VB', 'put/VB', 'same/JJ', 'question/NN', 'congresswoman/VB', 'gabbard/VB', 'thought/NN', 'equal/JJ', 'pay/NN']"
40,GABBARD," Yeah, well first of all, let’s recognize the—the situation we’re that the American people deserve a president who will put your interests ahead of the rich and powerful. That’s not what we have right now. I enlisted in the Army National Guard after the Al Qaeda terror attacks on 9/11 so I could go after those who had attacked us on that day. I still serve as a Major. I served over 16 years, deployed twice in the Middle East, and in Congress, served on the foreign affairs and armed services committees for over six years. I know the importance of our national security as well as the terribly high cost of war. And for too long, our leaders have failed us taking us from one regime change war to the next leading us into a new Cold War an arms race, tossing us trillions of our hard-earned taxpayer dollars and countless lives. This insanity must end. As president, I will take your hard-earned taxpayer dollars and instead invest those dollars into serving your needs, things like healthcare, a green economy, good paying jobs, protecting our environment, and so much more.",-0.8885,"['yeah', 'well', 'first', 'let', 'recognize', 'situation', 'american', 'people', 'deserve', 'president', 'put', 'interests', 'ahead', 'rich', 'powerful', 'right', 'enlisted', 'army', 'national', 'guard', 'al', 'qaeda', 'terror', 'attacks', 'could', 'go', 'attacked', 'us', 'day', 'still', 'serve', 'major', 'served', 'years', 'deployed', 'twice', 'middle', 'east', 'congress', 'served', 'foreign', 'affairs', 'armed', 'services', 'committees', 'six', 'years', 'know', 'importance', 'national', 'security', 'well', 'terribly', 'high', 'cost', 'war', 'long', 'leaders', 'failed', 'us', 'taking', 'us', 'one', 'regime', 'change', 'war', 'next', 'leading', 'us', 'new', 'cold', 'war', 'arms', 'race', 'tossing', 'us', 'trillions', 'taxpayer', 'dollars', 'countless', 'lives', 'insanity', 'must', 'end', 'president', 'take', 'taxpayer', 'dollars', 'instead', 'invest', 'dollars', 'serving', 'needs', 'things', 'like', 'healthcare', 'green', 'economy', 'good', 'paying', 'jobs', 'protecting', 'environment', 'much']","['well/RB', 'first/JJ', 'let/VB', 'recognize/VB', 'situation/NN', 're/NN', 'american/JJ', 'person/NN', 'deserve/VB', 'president/NN', 'put/VB', 'interest/NN', 'ahead/RB', 'rich/JJ', 'powerful/JJ', 'not/RB', 'have/VB', 'right/RB', 'now/RB', 'enlist/VB', 'army/NN', 'national/JJ', 'guard/NN', 'al/NN', 'qaeda/JJ', 'terror/NN', 'attack/NN', 'go/VB', 'have/VB', 'attack/VB', 'day/NN', 'still/RB', 'serve/VB', 'major/JJ', 'serve/VB', 'year/NN', 'deploy/VB', 'twice/RB', 'middle/JJ', 'east/JJ', 'congress/NN', 'serve/VB', 'foreign/JJ', 'affair/NN', 'arm/VB', 'service/NN', 'committee/NN', 'year/NN', 'know/VB', 'importance/NN', 'national/JJ', 'security/NN', 'as/RB', 'well/RB', 'terribly/RB', 'high/JJ', 'cost/NN', 'war/NN', 'too/RB', 'long/JJ', 'leader/NN', 'have/VB', 'fail/VB', 'take/VB', 'regime/NN', 'change/NN', 'war/NN', 'next/JJ', 'leading/NN', 'new/JJ', 'cold/JJ', 'war/NN', 'arm/NN', 'race/NN', 'toss/VB', 'trillion/NN', 'hard/NN', 'earn/VB', 'taxpayer/NN', 'dollar/NN', 'countless/JJ', 'life/NN', 'insanity/NN', 'end/VB', 'president/NN', 'take/VB', 'hard/NN', 'earn/VB', 'taxpayer/NN', 'dollar/NN', 'instead/RB', 'invest/VB', 'dollar/NN', 'serve/VB', 'need/NN', 'thing/NN', 'healthcare/NN', 'green/JJ', 'economy/NN', 'good/JJ', 'pay/VB', 'job/NN', 'protect/VB', 'environment/NN', 'so/RB', 'much/RB', 'more/JJ']"
41,DIAZ-BALART," Mayor de Blasio, good evening. You’re the mayor of the biggest city in the United States, but it’s also one of the cities in the country with the greatest gap between the wealthy and the poor. How would you address income inequality?",0.8294,"['mayor', 'de', 'blasio', 'good', 'evening', 'mayor', 'biggest', 'city', 'united', 'states', 'also', 'one', 'cities', 'country', 'greatest', 'gap', 'wealthy', 'poor', 'would', 'address', 'income', 'inequality']","['mayor/NN', 'blasio/JJ', 'good/JJ', 'evening/NN', 're/NN', 'mayor/NN', 'biggest/JJ', 'city/NN', 'united/NN', 'states/NN', 'also/RB', 'city/NN', 'country/NN', 'greatest/JJ', 'gap/NN', 'wealthy/JJ', 'poor/JJ', 'address/VB', 'income/NN', 'inequality/NN']"
42,DE BLASIO," Well, we’ve been addressing incoming inequality in New York City by raising wages, by raising benefits, by putting money back in the hands of working people, $15 minimum wage, paid sick days, Pre-K for all, things that are making a huge difference in working people’s lives. But let me tell you what we are hearing here already in the first round of questions is that battle for the heart and soul of our party. I want to make it clear, this is supposed to be the party of working people. Yes, we’re supposed to be for 70 perecent tax rate on the wealthy. Yes, we are supposed to be for free college, free public college for our young people, we are supposed to break up big corporations when they’re not serving our democracy. This Democratic Party has to be strong and bold and progressive. And in New York, we’ve proven that we can do something very different. We can put money back in the hands of working people. And let me tell you, every time you talk about investing in people and their communities, you hear folks say there’s not enough money. What I say to them every single time is there’s plenty of money in this world. There’s plenty of money in this country. It’s just in the wrong hands.",0.9786,"['well', 'addressing', 'incoming', 'inequality', 'new', 'york', 'city', 'raising', 'wages', 'raising', 'benefits', 'putting', 'money', 'back', 'hands', 'working', 'people', 'minimum', 'wage', 'paid', 'sick', 'days', 'things', 'making', 'huge', 'difference', 'working', 'people', 'lives', 'let', 'tell', 'hearing', 'already', 'first', 'round', 'questions', 'battle', 'heart', 'soul', 'party', 'want', 'make', 'clear', 'supposed', 'party', 'working', 'people', 'yes', 'supposed', 'perecent', 'tax', 'rate', 'wealthy', 'yes', 'supposed', 'free', 'college', 'free', 'public', 'college', 'young', 'people', 'supposed', 'break', 'big', 'corporations', 'serving', 'democracy', 'democratic', 'party', 'strong', 'bold', 'progressive', 'new', 'york', 'proven', 'something', 'different', 'put', 'money', 'back', 'hands', 'working', 'people', 'let', 'tell', 'every', 'time', 'talk', 'investing', 'people', 'communities', 'hear', 'folks', 'say', 'enough', 'money', 'say', 'every', 'single', 'time', 'plenty', 'money', 'world', 'plenty', 'money', 'country', 'wrong', 'hands']","['well/RB', 'have/VB', 'be/VB', 'address/VB', 'incoming/JJ', 'inequality/NN', 'new/NN', 'york/NN', 'city/NN', 'raise/VB', 'wage/NN', 'raise/VB', 'benefit/NN', 'putt/VB', 'money/NN', 'back/RB', 'hand/NN', 'working/JJ', 'person/NN', 'minimum/JJ', 'wage/NN', 'paid/VB', 'sick/JJ', 'day/NN', 'pre/VB', 'thing/NN', 'be/VB', 'make/VB', 'huge/JJ', 'difference/NN', 'working/JJ', 'person/NN', 'life/NN', 'let/VB', 'tell/VB', 'be/VB', 'hear/VB', 'here/RB', 'already/RB', 'first/JJ', 'round/NN', 'question/NN', 'be/VB', 'battle/NN', 'heart/NN', 'soul/NN', 'party/NN', 'want/VB', 'make/VB', 'clear/RB', 'be/VB', 'suppose/VB', 'be/VB', 'party/NN', 'working/JJ', 'person/NN', 'ye/NN', 're/NN', 'suppose/VB', 'be/VB', 'perecent/NN', 'tax/NN', 'rate/NN', 'wealthy/JJ', 'ye/NN', 'be/VB', 'suppose/VB', 'be/VB', 'free/JJ', 'college/NN', 'free/JJ', 'public/NN', 'college/NN', 'young/JJ', 'person/NN', 'be/VB', 'suppose/VB', 'break/VB', 'big/JJ', 'corporation/NN', 're/NN', 'not/RB', 'serve/VB', 'democracy/NN', 'democratic/JJ', 'party/NN', 'have/VB', 'be/VB', 'strong/JJ', 'bold/JJ', 'progressive/JJ', 'new/NN', 'york/NN', 'have/VB', 'proven/RB', 'do/VB', 'something/NN', 'very/RB', 'different/JJ', 'put/VB', 'money/NN', 'back/RB', 'hand/NN', 'working/JJ', 'person/NN', 'let/VB', 'tell/VB', 'time/NN', 'talk/VB', 'investing/NN', 'person/NN', 'community/NN', 'hear/VB', 'folk/NN', 'say/VB', 'there/RB', 'not/RB', 'enough/JJ', 'money/NN', 'say/VB', 'single/JJ', 'time/NN', 'be/VB', 'there/RB', 'plenty/NN', 'money/NN', 'world/NN', 'plenty/NN', 'money/NN', 'country/NN', 'just/RB', 'wrong/JJ', 'hand/NN']"
43,DIAZ-BALART, Thank you. Congressman,0.3612,"['thank', 'congressman']","['thank/NN', 'congressman/NN']"
44,DE BLASIO, We Democrats have to fix that.,0.0,"['democrats', 'fix']","['democrat/NN', 'have/VB', 'fix/VB']"
45,DIAZ-BALART," Congressman Delaney, do you agree?",0.3612,"['congressman', 'delaney', 'agree']","['congressman/NN', 'delaney/NN', 'do/VB', 'agree/VB']"
46,DELANEY," I think we need to do real things to help American workers and the American people, right? This is the issue that all of us hear on the campaign trail. We need to make sure everyone has a living wage, and I’ve called for a doubling of the earned income tax credit, raising the minimum wage, and creating paid family leave. That will create a situation where people actually have a living wage. That gets right to workers. Then we’ve got to fix our public education system. It’s not delivering the results our kid’s needs, nor is college and post high school career and technical training programs doing that. You know, I’m very different than everyone else here on the stage. Prior to being in Congress, I was an entrepreneur. I started two businesses. I created thousands of jobs. I spent my whole career helping small to midsize businesses all over the country. 5000—5000 of them I supported. The Obama administration gave me an award for lending to disadvantaged communities. I know how to create jobs. We need a short-term strategy, which is to put money in the pockets of workers with the in earned income tax credit, raising the minimum wage and creating paid family leave, and then we need to have a long-term strategy to make sure this country is competitive, and we are creating jobs everywhere in this country.",0.9774,"['think', 'need', 'real', 'things', 'help', 'american', 'workers', 'american', 'people', 'right', 'issue', 'us', 'hear', 'campaign', 'trail', 'need', 'make', 'sure', 'everyone', 'living', 'wage', 'called', 'doubling', 'earned', 'income', 'tax', 'credit', 'raising', 'minimum', 'wage', 'creating', 'paid', 'family', 'leave', 'create', 'situation', 'people', 'actually', 'living', 'wage', 'gets', 'right', 'workers', 'got', 'fix', 'public', 'education', 'system', 'delivering', 'results', 'kid', 'needs', 'college', 'post', 'high', 'school', 'career', 'technical', 'training', 'programs', 'know', 'different', 'everyone', 'else', 'stage', 'prior', 'congress', 'entrepreneur', 'started', 'two', 'businesses', 'created', 'thousands', 'jobs', 'spent', 'whole', 'career', 'helping', 'small', 'midsize', 'businesses', 'country', 'supported', 'obama', 'administration', 'gave', 'award', 'lending', 'disadvantaged', 'communities', 'know', 'create', 'jobs', 'need', 'strategy', 'put', 'money', 'pockets', 'workers', 'earned', 'income', 'tax', 'credit', 'raising', 'minimum', 'wage', 'creating', 'paid', 'family', 'leave', 'need', 'strategy', 'make', 'sure', 'country', 'competitive', 'creating', 'jobs', 'everywhere', 'country']","['think/VB', 'need/VB', 'do/VB', 'real/JJ', 'thing/NN', 'help/VB', 'american/JJ', 'worker/NN', 'american/JJ', 'person/NN', 'right/RB', 'be/VB', 'issue/NN', 'hear/VB', 'campaign/NN', 'trail/NN', 'need/VB', 'make/VB', 'sure/JJ', 'everyone/NN', 'have/VB', 'living/JJ', 'wage/NN', 'have/VB', 'call/VB', 'double/VB', 'earned/JJ', 'income/NN', 'tax/NN', 'credit/NN', 'raise/VB', 'minimum/NN', 'wage/NN', 'create/VB', 'paid/JJ', 'family/NN', 'leave/VB', 'create/VB', 'situation/NN', 'person/NN', 'actually/RB', 'have/VB', 'living/JJ', 'wage/NN', 'get/VB', 'right/JJ', 'worker/NN', 'then/RB', 'have/VB', 'get/VB', 'fix/VB', 'public/NN', 'education/NN', 'system/NN', 'not/RB', 'deliver/VB', 'result/NN', 'kid/NN', 'need/VB', 'be/VB', 'college/NN', 'post/NN', 'high/JJ', 'school/NN', 'career/NN', 'technical/JJ', 'training/NN', 'program/NN', 'do/VB', 'know/VB', 'very/RB', 'different/JJ', 'everyone/NN', 'else/RB', 'here/RB', 'stage/NN', 'prior/RB', 'be/VB', 'congress/NN', 'be/VB', 'entrepreneur/NN', 'start/VB', 'business/NN', 'create/VB', 'thousand/NN', 'job/NN', 'spend/VB', 'whole/JJ', 'career/NN', 'help/VB', 'small/JJ', 'midsize/JJ', 'business/NN', 'country/NN', 'support/VB', 'obama/JJ', 'administration/NN', 'give/VB', 'award/NN', 'lend/VB', 'disadvantaged/JJ', 'community/NN', 'know/VB', 'create/VB', 'job/NN', 'need/VB', 'short/JJ', 'term/NN', 'strategy/NN', 'be/VB', 'put/VB', 'money/NN', 'pocket/NN', 'worker/NN', 'earned/JJ', 'income/NN', 'tax/NN', 'credit/NN', 'raise/VB', 'minimum/NN', 'wage/NN', 'create/VB', 'paid/JJ', 'family/NN', 'leave/NN', 'then/RB', 'need/VB', 'have/VB', 'long/JJ', 'term/NN', 'strategy/NN', 'make/VB', 'sure/JJ', 'country/NN', 'be/VB', 'competitive/JJ', 'be/VB', 'create/VB', 'job/NN', 'everywhere/RB', 'country/NN']"
